,query
79,"select distinct ?n, ?date
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
  
}

order by ?date

"
80,"select distinct ?n, ?date
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
  
}

order by desc (?date)

"
81,"select distinct ?n, ?date
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
  
}

order by desc (?date)

"
82,"select distinct ?n, ?date
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen.
optional{ ?n dbpprop:released ?date}.}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen.
optional{ ?n dbpprop:released ?date}.}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen.
optional{ ?n dbpprop:released ?date}.}.


  
}

order by desc (?date)"
83,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.
  
}

order by desc (?date)"
84,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.

  
}

order by desc (?date)"
85,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.
filter (?budget > ""500.000""^^<http://dbpedia.org/datatype/usDollar>).

  
}

order by desc (?date)"
86,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.


  
}

order by desc (?date)"
87,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.
filter (?budget > ""500000""^^<http://dbpedia.org/datatype/usDollar>).

  
}

order by desc (?date)"
88,"select distinct ?n, ?date, ?budget
where 

{ 
   { ?n dbpedia-owl:director dbpedia:Woody_Allen}
  UNION
    {?n dbpedia-owl:writer dbpedia:Woody_Allen}
  UNION
   { ?n dbpedia-owl:starring dbpedia:Woody_Allen}.

optional{ ?n dbpprop:released ?date}.
optional{ ?n dbpedia-owl:budget ?budget}.


  
}

order by desc (?date)"
